Country,Score
Albania,0.5868187579214195
Algeria,0.376425855513308
Argentina,0.39543726235741444
Armenia,0.6058301647655259
Australia,0.9226869455006336
Austria,0.9074778200253484
Azerbaijan,0.512040557667934
Bahrain,0.6387832699619772
Bangladesh,0.3460076045627376
Belarus,0.5069708491761723
Belgium,0.8174904942965779
Benin,0.47655259822560203
Bhutan,0.6108998732572877
Bolivia,0.16730038022813687
Bosnia and Herzegovina,0.541191381495564
Botswana,0.6628643852978453
Brazil,0.4980988593155893
Bulgaria,0.6565272496831431
Burkina Faso,0.4714828897338403
Burundi,0.4055766793409379
Cambodia,0.4448669201520912
Cameroon,0.34220532319391633
Canada,0.9594423320659061
Chile,0.7300380228136881
China,0.4968314321926489
Colombia,0.5348542458808618
Costa Rica,0.6425855513307984
Cote d'Ivoire,0.42332065906210387
Croatia,0.6958174904942966
Cyprus,0.8314321926489225
Czechia,0.7617237008871989
Denmark,0.9581749049429656
Dominican Republic,0.47655259822560203
Ecuador,0.3624841571609632
"Egypt, Arab Rep.",0.29150823827629907
El Salvador,0.4968314321926489
Estonia,0.826362484157161
Ethiopia,0.38276299112801015
Finland,0.9923954372623573
France,0.8162230671736376
Georgia,0.6742712294043093
Germany,0.8631178707224333
Ghana,0.3713561470215462
Greece,0.6476552598225601
Guatemala,0.4055766793409379
Guinea,0.33460076045627374
Honduras,0.3485424588086185
"Hong Kong SAR, China",0.9733840304182508
Hungary,0.7008871989860582
Iceland,0.8922686945500634
India,0.43979721166032953
Indonesia,0.3244613434727503
"Iran, Islamic Rep.",0.3789607097591888
Ireland,0.9138149556400506
Israel,0.6463878326996197
Italy,0.7198986058301646
Jamaica,0.6248415716096324
Japan,0.9011406844106462
Jordan,0.5906210392902408
Kazakhstan,0.6400506970849176
Kenya,0.46514575411913817
"Korea, Rep.",0.752851711026616
Kuwait,0.5196451204055766
Kyrgyz Republic,0.42332065906210387
Latvia,0.7820025348542459
Lebanon,0.45754119138149557
Lithuania,0.7262357414448668
Luxembourg,0.8377693282636247
Madagascar,0.4182509505703422
Malawi,0.4512040557667934
Malaysia,0.6958174904942966
Mali,0.34347275031685676
Malta,0.7946768060836502
Mauritius,0.8174904942965779
Mexico,0.5640050697084917
Moldova,0.541191381495564
Mongolia,0.6185044359949302
Montenegro,0.6742712294043093
Morocco,0.5259822560202788
Mozambique,0.3814955640050697
Namibia,0.6172370088719898
Nepal,0.38783269961977185
Netherlands,0.9505703422053231
New Zealand,0.9822560202788339
Nicaragua,0.4537389100126742
Niger,0.39036755386565264
Nigeria,0.25602027883396705
North Macedonia,0.7021546261089987
Norway,0.9619771863117871
Oman,0.697084917617237
Pakistan,0.2674271229404309
Panama,0.5525982256020279
Paraguay,0.4043092522179974
Peru,0.5627376425855513
Philippines,0.47401774397972113
Poland,0.7515842839036755
Portugal,0.7997465145754118
Qatar,0.7477820025348542
Romania,0.6717363751584283
Russian Federation,0.5310519645120405
Rwanda,0.6020278833967047
Saudi Arabia,0.5310519645120405
Senegal,0.4790874524714828
Serbia,0.6299112801013942
Singapore,1.0
Slovak Republic,0.7477820025348542
Slovenia,0.8212927756653992
South Africa,0.6730038022813687
Spain,0.7515842839036755
Sri Lanka,0.3586818757921419
Sweden,0.9163498098859315
Switzerland,0.9416983523447401
Tajikistan,0.38783269961977185
Tanzania,0.48288973384030415
Thailand,0.49049429657794674
Togo,0.41571609632446127
Tunisia,0.5361216730038022
Turkiye,0.4892268694550063
Uganda,0.47782002534854245
Ukraine,0.4144486692015209
United Arab Emirates,0.8225602027883396
United Kingdom,0.9074778200253484
United States,0.8833967046894803
Uruguay,0.6717363751584283
"Venezuela, RB",0.0
Vietnam,0.4524714828897338
"Yemen, Rep.",0.20532319391634984
Zambia,0.3979721166032953
